geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_toy_v_toyPcKD_change
DIP-eta	20.8520213491557	1.75593228734151	0.656386300823883	2.67515072319075	0.0074695660313054	0.0480311695521369	enriched in toy-PcKD
Dfd	439.418604282643	-1.39711799731278	0.250267793105405	-5.58249217758657	2.3709627717518e-08	1.12996616000073e-06	depleted in toy-PcKD
Dh31-R	132.062155745109	2.23931703847164	0.271501063874074	8.24791257359588	1.61185217265382e-16	3.8337813100315e-14	enriched in toy-PcKD
Dh44	16.8287993036133	-3.5485627138114	1.03204951112148	-3.43836480282358	0.00058523869415793	0.00694748729273751	depleted in toy-PcKD
Dr	571.339551147422	3.13547787201478	0.467471860221848	6.70730826562859	1.98247182402909e-11	1.76079542916038e-09	enriched in toy-PcKD
E(spl)m5-HLH	123.89647242825	-1.18250978226817	0.274238970838321	-4.31196842175039	1.61807547419567e-05	0.00034029049414375	depleted in toy-PcKD
E(spl)mgamma-HLH	1842.94513046963	-1.33496559545035	0.136356264263091	-9.79027698261529	1.23955853426546e-22	6.37394046303868e-20	depleted in toy-PcKD
EbpIII	107.595769112764	-2.27312878767084	0.7903875902704	-2.87596720349972	0.00402791560499105	0.0301553528434962	depleted in toy-PcKD
Elk	32.9725119162266	-2.35455181504031	0.617823942639614	-3.81104009174626	0.000138383319312054	0.00210592683750587	depleted in toy-PcKD
Eo	10.1984546465693	3.34453026408053	1.01956918994879	3.2803367314861	0.00103683256294174	0.0108224937392529	enriched in toy-PcKD
